#Agent	Tech	Prop	age
454	78	22859	3
455	0	185257	4
456	0	40697	4
457	0	66771	4
458	0	103326	4
459	0	142454	4
460	0	48010	4
460	122	83492	2
461	0	6407	4
462	0	94667	4
463	0	19238	4
463	45	50259	3
464	0	65416	4
465	0	102195	4
466	0	139421	4
467	0	22847	4
468	0	75466	4
469	0	140809	4
470	0	44080	4
470	89	112097	3
471	0	130725	4
471	122	29164	2
472	0	81597	4
472	100	96877	1
473	0	65234	4
474	0	73924	4
475	0	6470	4
476	0	18563	4
476	100	18333	2
477	0	114649	4
478	0	99990	4
479	0	33980	4
480	0	109804	4
481	0	72805	4
482	0	113858	4
483	0	120935	4
484	0	105224	4
485	0	16422	4
486	0	21320	4
487	0	141389	4
488	0	178617	4
488	111	13729	0
489	0	38687	4
490	0	156274	4
491	0	170147	4
492	0	22032	4
492	111	3130	0
493	0	88546	4
494	0	31919	4
495	0	44478	4
496	0	107937	4
496	99	55424	3
497	0	134611	4
498	0	149623	4
499	0	77800	4
500	0	97494	4
500	122	20060	1
501	0	96915	4
502	0	40771	4
503	0	104552	4
504	0	94121	4
504	89	95704	3
505	0	27960	4
506	0	150828	4
507	0	70386	4
508	0	149402	4
509	0	25745	4
509	111	113609	3
510	0	19922	4
510	99	12007	0
511	0	140571	4
512	0	120063	4
513	0	118826	4
514	0	18310	4
515	0	23799	4
516	0	171242	4
517	0	62245	4
518	0	78077	4
519	0	154479	4
520	0	116186	4
521	0	75132	4
521	122	7955	3
522	0	114385	4
523	0	110300	4
524	0	114743	4
524	110	17264	2
525	0	39419	4
525	122	65062	3
526	0	42815	4
527	0	105618	4
528	0	45256	4
529	0	27923	4
530	0	97105	4
531	0	68009	4
531	100	115371	3
532	0	130356	4
533	0	37049	4
533	111	28018	1
534	0	93393	4
535	0	157578	4
536	0	23236	4
537	0	29288	4
538	0	59912	4
539	0	34689	4
540	0	101322	4
541	0	47798	4
541	100	13953	3
542	0	37694	4
542	100	14793	2
543	0	122225	4
544	0	48434	4
545	0	84220	4
